timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1746342954170,286,Register Test User,201,CREATED,Setup Thread Group - User Creation 1-1,text,true,,608,354,3,3,http://localhost:5001/api/auth/register,280,0,25
1746342954254,246,Register Test User,500,INTERNAL SERVER ERROR,Setup Thread Group - User Creation 1-2,text,false,,310,354,2,2,http://localhost:5001/api/auth/register,246,0,2
1746342954452,249,Register Test User,500,INTERNAL SERVER ERROR,Setup Thread Group - User Creation 1-3,text,false,,310,354,2,2,http://localhost:5001/api/auth/register,249,0,0
1746342954659,250,Register Test User,500,INTERNAL SERVER ERROR,Setup Thread Group - User Creation 1-4,text,false,,310,354,2,2,http://localhost:5001/api/auth/register,249,0,1
1746342954848,247,Register Test User,500,INTERNAL SERVER ERROR,Setup Thread Group - User Creation 1-5,text,false,,310,354,1,1,http://localhost:5001/api/auth/register,247,0,1
1746342955462,12,Get User Profile,200,OK,Normal Load - Base Traffic 1-1,text,true,,584,527,1,1,http://localhost:5001/api/users/6817142a8ef92345aa00179a,12,0,3
1746342956251,3,Get User Profile,422,UNPROCESSABLE ENTITY,Normal Load - Base Traffic 1-2,text,false,,296,208,2,2,http://localhost:5001/api/users/,2,0,1
1746342957246,2,Get User Profile,422,UNPROCESSABLE ENTITY,Normal Load - Base Traffic 1-3,text,false,,296,208,3,3,http://localhost:5001/api/users/,2,0,1
1746342957461,8,Get User Profile,200,OK,Normal Load - Base Traffic 1-1,text,true,,584,527,3,3,http://localhost:5001/api/users/6817142a8ef92345aa00179a,8,0,0
1746342958241,3,Get User Profile,422,UNPROCESSABLE ENTITY,Normal Load - Base Traffic 1-4,text,false,,296,208,4,4,http://localhost:5001/api/users/,3,0,2
1746342959284,2,Get User Profile,422,UNPROCESSABLE ENTITY,Normal Load - Base Traffic 1-5,text,false,,296,208,5,5,http://localhost:5001/api/users/,2,0,1
1746342960253,3,Get User Profile,422,UNPROCESSABLE ENTITY,Normal Load - Base Traffic 1-2,text,false,,296,208,5,5,http://localhost:5001/api/users/,3,0,1
1746342960350,8,Login Test Request,401,UNAUTHORIZED,Spike Traffic 2-1,text,false,,251,277,1,6,http://localhost:5001/api/auth/login,8,0,2
1746342960359,6,Login Test Request,401,UNAUTHORIZED,Spike Traffic 2-1,text,false,,251,277,1,6,http://localhost:5001/api/auth/login,6,0,1
1746342960365,5,Login Test Request,401,UNAUTHORIZED,Spike Traffic 2-1,text,false,,251,277,2,7,http://localhost:5001/api/auth/login,5,0,1
1746342960371,1,Login Test Request,500,INTERNAL SERVER ERROR,Spike Traffic 2-1,text,false,,303,277,2,7,http://localhost:5001/api/auth/login,1,0,0
1746342960373,4,Login Test Request,401,UNAUTHORIZED,Spike Traffic 2-1,text,false,,251,277,2,7,http://localhost:5001/api/auth/login,4,0,0
